Zeus;Fils de Chronos et Rhéa;Symboles : l'éclair, l'aigle ou parfois le taureau;Roi des Dieux de l’Olympe et Souverain du ciel. Il est la figure d’autorité de l'Olympe que peu de dieux peuvent défier, il est aussi celui qui a mis un terme au règne de son père Chronos. Avec sa femme, Héra, il eut plusieurs enfants dont Arès le dieu de la guerre, Héphaïstos le dieu forgeron ou encore Eris déesse de la discorde. Zeus a eu beaucoup d’enfants notamment parce qu’il est connu comme étant un coureur de jupon. Héra  était souvent jalouse, c’est pourquoi elle maudissait régulièrement les femmes de Zeus et leurs enfants. Zeus est de loin le dieu le plus célèbre de la Grèce antique et était vénéré à travers toute la Grèce, plusieurs temples et monuments ont été créés afin de rendre honneur à sa puissance.
Poséidon;Fils de Chronos et Rhéa;Symboles : Trident mais aussi le dauphin ou encore le taureau;"On disait de Poséidon que lorsqu’il était en colère, des tempêtes dévastatrices se formaient, ainsi que des tremblements de terre si puissants qu’ils pourraient détruire une ville. Le symbole de Poséidon le plus connu est son trident qu’il a obtenu lors de la Titanomachie, affrontement opposant Chronos à ses enfants. Avec sa femme, Amphitrite, incarnation de la mer, ainsi qu’avec ses conquêtes amoureuses, Poséidon eut des enfants qui ont joué un rôle important dans la mythologie comme Triton le messager de la mer, Cymopolée déesse des tempêtes et des catastrophes naturelles, ou encore Polyphème le géant. Le temple du cap Sounion est l’un des lieux de culte du dieu de la mer les plus importants, aussi de nombreux sacrifices étaient faits afin d’apaiser le dieu des océans lorsque les hommes s'aventurent en mer. Poséidon était connu comme un dieu violent et colérique qui agissait sans trop réfléchir."
Héra;Fille de Chronos et Rhéa;Symboles : couronnes, sceptre royale, paon et parfois une grenade, fruit symbole de la fécondité;Reine des Dieux de l’Olympe, Déesse de la famille, des femmes et surtout le mariage. Héra était connue pour être jalouse, son mari Zeus avait de nombreuses conquêtes amoureuses, et Héra maudissait souvent ces fameuses conquêtes ainsi que leurs enfants, l’exemple le plus connu est celui d’Héraclès. Parmi les enfants d’Héra, on peut citer Héphaïstos, d’après la légende, Héra aurait donné naissance à Héphaïstos toute seule pour se venger de Zeus qui a donné naissance à Athéna sans elle. Le temple d’Héra à Olympie et l’Héraion d’Argos sont des lieux liés au culte de la déesse.  Héra est souvent retenue comme une déesse vengeresse, sans pitié et jalouse.
Aphrodite;Fille de Zeus et Dioné;Symboles : coquillage, la rose, et le pavot une fleur somnifère;"Aphrodite est la déesse de l’amour, à son arrivée à l'Olympe elle se maria à Héphaïstos le dieu de la forge mais tomba secrètement amoureuse d’Arès le dieu de la guerre, Hélios dieu du Soleil alla avertir Héphaïstos, celui-ci tendit un piège, il forgea un filet que seul lui peut manœuvrer et le jette sur Arès et Aphrodite pendant une nuit. Il appela tous les dieux de l'Olympe pour qu’ils soient témoins et une fois que le filet fut retiré, Aphrodite prit la fuite, de honte. Avec Arès, Aphrodite a eu de nombreux enfants comme Eros dieu de l’amour, Deimos, Phobos ou encore Harmonie. Déesse très protectrice avec ses enfants mais qui pouvait aussi faire usage de la force quand il le fallait."
Arès;Fils de Zeus et Héra;Symboles : Casque, lance, épée, bouclier et un vautour;"Dieu de la guerre et de la destruction. Arès est la personnification divine de la guerre, le combat et de toutes les actions hostiles et violentes. On dit qu’il est à l’origine des confrontations humaines, contrairement à beaucoup de dieux, Arès n’était pas très populaire chez les hommes à cause du fait qu’il ne soit attiré que par le combat et la discorde. Arès est souvent représenté avec sa sœur Eris, déesse de la discorde, on dit qu’elle accompagne son frère dans ses combats et sème la discorde chez les hommes. Arès est le père des amazones, peuple de guerrières uniquement composé de femmes. Arès eut des enfants avec Aphrodite et ses fils étaient tout aussi violents que lui, comme Phobos et Deimos qui sont tous deux des représentations de la peur et la terreur. C’est à Sparte que le culte d’Arès était le plus présent. Arès considéré comme l’un des dieux les plus puissant, violent et sanguinaire."
Athéna;Fille de Zeus et de Métis;Symboles : Armure de guerre, lance, égide, chouette et l’olivier;"Déesse de la sagesse, de la stratégie militaire et de la raison. Athéna est une déesse protectrice de nombreuses cités de Grèce et notamment celle qui porte son nom Athènes, la chouette d’Athéna était par exemple utilisée pour les pièces de monnaie de la cité antique. L’olivier était utilisé comme symbole de la prospérité d’Athènes. Athéna est une déesse qui a souvent intervenu pour aider des héros comme Héraclès, Persée ou Ulysse. Le culte d’Athéna était l’un des plus importants de la Grèce et ceux qui devenaient grands prêtres du culte d’Athéna possédaient une position sociale et religieuse très importante. Athéna avait de nombreux lieux de culte comme des temples mais aussi beaucoup de fêtes en son honneur. Athéna était une déesse très populaire chez les hommes et particulièrement dans les villes qu’elle protégeait.  "
Héphaïstos;Fils d'Héra;Symboles : Marteau, enclume, pince, volcan;"Pour Homère, il est le fils de Zeus et pour Cinéthon celui de Thalos. Héphaïstos est le dieu du feu, de la forge, de la métallurgie et des volcans. À sa naissance, sa mère le juge trop laid pour le garder. Alors, sans tarder, elle le jeta au pied du Mont Olympe et finit dans la mer, où  Thétis et Eurynomé le recueillirent. Pendant neuf ans, ces derniers l'élevèrent dans une grotte située sur l'île de Lemnos. De sa chute, Il gardera des séquelles physiques, ce qui le fera boiter tout au long de sa vie. Il se forme alors aux métiers de l'artisanat en façonnant des bijoux. Un jour, il créa un trône d'or aux bras articulés et l'envoya dans l'Olympe en guise de présent. Ce trône est destiné à piéger sa mère pour la punir de son rejet et assouvir sa vengeance. Toute personne assise sur ce trône n'a alors plus aucun moyen de pouvoir bouger. Imprudente, Héra s'installe sur celui-ci. Elle se trouvait alors immobilisée à la surprise des dieux. On demanda à Arès d'aller chercher Héphaïstos, en vain. Dionysos, réussit à enivrer celui-ci, qui va alors libérer sa mère. Zeus lui proposa d'exaucer l'un de ses vœux. Héphaïstos demande alors la main d'Aphrodite, cette demande n'aura pas de suite."
Hestia;Fille de Chronos et Rhéa;Symboles : le feu sacré et le foyer.;"Hestia était une déesse très appréciée dans la Grèce antique, en effet étant la déesse du foyer, les grecques voyaient en elle une déesse qui se souciait d’eux, de ce fait Hestia avait au moins un temple dans chaque ville de Grèce. Elle est l'aînée de la fratrie des enfants de Cronos et Rhéa et aussi une des déesses qui a fait vœu de rester vierge toute sa vie bien que beaucoup de dieux lui faisaient des avances, comme par exemple Poséidon. Et elle est aussi celle qui permet de sauver la paix de l'Olympe pendant la bataille qui opposait Cronos à ses enfants, en restant en retrait. Hestia était considérée comme une déesse douce et pacifique, et appréciée de tous les grecques."
Apollon;Fils de Zeus et Léto;Symboles : La lyre, une couronne de laurier et parfois un arc;"Dieu des arts, du chant, de la poésie, de la musique, de la beauté masculine et de la lumière. Apollon est considéré comme le plus beau des dieux, il est aussi la divinité prophétique de l’oracle de Delphes. C’est un dieu qui peut soigner les épidémies mais aussi amener la peste ou les maladies avec ses flèches. Il est considéré comme le créateur de la musique et des chants, et tout comme sa sœur jumelle Artémis, il est aussi associé à l’invention du tire à l’arc. La lyre, grand symbole de la musique et du dieu Apollon lui a été offerte par son demi-frère Hermès. Apollon était vénéré dans beaucoup de chants et de poésies et était au centre de certaines fêtes. Apollon était considéré comme un dieu miséricordieux et le plus beau de tous les dieux de l’Olympe."
Artémis;Fille de Zeus;Symboles : L’arc, le croissant de lune, le carquois et certains animaux<br>comme la biche ou le cerf;"Déesse de la chasse, de la nature et des animaux sauvages. Artémis est aussi considérée comme la déesse protectrice des petites filles jusqu’à qu’elles atteignent l’âge adulte. Artémis est un symbole de chasteté et de pureté, lorsque quelqu’un se retrouve à l’offusquer, c’est là qu’elle peut se montrer sévère, un jour un homme l'epia en train de se baigner nue dans un lac, pour le punir elle le transforma en cerf et lâcha les chiens de l’homme à ses trousses. Les femmes qui s’apprêtaient à accoucher allaient prier aux temples dédiés à Artémis, pour que celles-ci puissent accoucher sans problèmes. Artémis était considérée comme une déesse juste et qui aidait les jeunes femmes et qui n’hésitait pas à être sévère quand il le faut."
Déméter;Fils de Chronos et Rhéa;Symboles : Corne d’abondance et une torche;"Déméter était une déesse très appréciée dans la Grèce antique, en effet, elle est la déesse de la fertilité et de l’agriculture, elle est donc celle qui nourrissait les grecques. Elle était aussi souvent associée aux saisons. Déméter aurait offert ses connaissances pour que les grecques puissent faire leur propre pain. Elle donna un chariot volant à Triptolème et lui demanda de répandre l’art de l’agriculture à travers le monde entier, ce qu’il fit. Déméter possède beaucoup de temples et de lieux de cultes à travers toutes les cités majeures de la Grèce. Elle était d’ailleurs souvent représentée avec sa fille Perséphone, elle aussi liée aux saisons. Déméter était considérée comme une déesse qui aimait partager ses connaissances et qui aimait les mortels."
Hadès;Fils de Chronos et Rhéa;Symboles : La kunée, la corne d'abondance, la lance à deux fourches et le char;"Comme toute sa fratrie, il fut avalé dès sa naissance par son père, et Zeus, son frère cadet, vint au secours de sa fratrie pour les libérer. À ses côtés il prend part à la ""Gigantomachie"" : épisode de la mythologie où les Dieux renversèrent les Titans. Lorsque la guerre est enfin terminée, il reçoit en partage, les  « ombres brumeuses » et réside avec elles aux Enfers. Il obtient alors, le titre de Roi des Morts, qui lui imposera de veiller à ce que ceux-ci, ne quittent pas son Royaume. Le sceptre, un attribut donné par Pindare -un poète grec- lui permet de conduire les morts au travers des Enfers."
