ProméFeu;Prométhée et le feu;Lorsque Zeus devint le Dieu absolu maître de l’Olympe, il demanda à Prométhée et son frère Épiméthée de créer les humains et les animaux. Épiméthée demanda à son frère de le laisser faire, dans un élan d’inspiration, Épiméthée créa les animaux avec toutes les ressources et outils qu’ils ont besoin pour survivre, malheureusement, Épiméthée qui signifie « Qui réfléchit trop tard » n’avait plus rien pour aider les humains à survivre, il alla demander de l’aide à son frère Prométhée « Le prévoyant ». Si les humains n’ont pas les outils pour se défendre, alors il leur faut la connaissance, avec l’aide d’Athéna il leur apprend la métallurgie, l’agriculture et les fait se déplacer debout. Pour mettre toutes les chances du côté des humains, Prométhée alla voler un morceau du feu sacré et le donna aux humains. Pour cela, Zeus le punit, il l’enchaîne au sommet du Mont Caucase, là où un aigle venait lui manger son foie tous les jours tandis qu’il se régénérait toutes les nuits. Et pour punir les humains, Zeus créa Pandore, la première femme mortelle qui fut promise à Épiméthée, elle possédait avec elle une boîte renferment tous les malheurs du monde et qui finira un jour par être ouverte.
OedipeSphinx;Œdipe et le Sphinx;Laïos et Jocaste Roi et Reine de Thèbes eurent un fils, comme le veut la tradition il l’emmène voir l’Oracle, celui-ci leur prédit que leur fils tuera son père Laïos et épousera sa mère Jocaste, par peur de cette prédiction, le couple décida de jeter leur enfant dans une rivière. Cependant, l’enfant est retrouvé et adopté par Polybe le Roi de Corinthe et sa femme Mérope Reine de Corinthe et ils le baptisèrent Œdipe, une fois jeune adulte, Œdipe se fit prédire son avenir par un Oracle, celui-ci apprend qu’il va tuer son père et épouser sa mère, pensant que ses parents sont Mérope et Polybe, Œdipe fuit en s’en alla vers Thèbes, sur le chemin, il finit par se battre avec un homme et le tua sans savoir qu’il s’agissait de son père Laïos, en arrivant à Thèbes il fit la rencontre d’un monstre à corps de lion et à tête de femme, qui terrorisait les habitants de la région, Le Sphinx. Ce monstre, fille d’Echidna et Typhon, posait une énigme à tout le monde et mangeait ceux qui ne répondaient pas correctement. Œdipe en revanche répondit correctement à l’énigme : « Qu’est-ce qui a une voix, et quatre jambes, et deux jambes et trois jambes ? » la réponse étant « L’Homme » l’Homme qui n’a qu’une voix, qui se déplace à quatre pattes bébé, deux jambes adultes et trois jambes avec une canne une fois âgé. Pour remercier Œdipe d’avoir vaincu le monstre, Créon régent de Thèbes offrit la main de Jocaste la Reine veuve de Thèbes, de ce fait Œdipe finit par provoquer la prédiction de l’Oracle en épousant Jocaste, sa mère. Œdipe apprenant la vérité se crève les yeux et Jocaste se suicida.
PerseeMeduse;Persée et la Méduse;Persée fils de Danaé et Zeus commença son épopée lorsque Polydectès lui demanda un cadeau pour son mariage. <br>Persée lui dit qu’il lui ramènerai la tête de la célèbre gorgone : Méduse, fille de Phorcys et Ceto, une femme aux cheveux de serpent qui a la capacité de pétrifier n’importe qui d’un regard. <br>Avant d’aller affronter la gorgone Persée alla voir Athéna, déesse de la sagesse et de la stratégie afin qu’elle le conseille, elle lui prêta un bouclier avec une face réfléchissante afin de pouvoir observer Méduse indirectement. <br>De plus Hermès, dieu messager de Zeus lui prêta une épée capable de trancher la tête de la gorgone. Enfin Persée ira trouver les nymphes afin de leur demander le casque d’Hadès lui permettant de se rendre invisible, des sandales ailées afin de se déplacer plus vite que son regard et une besace afin d’y mettre la tête de la gorgone. <br>Une fois prêt, Persée se rendit là où était Méduse et l'affronte, pour la vaincre, au moment où elle allait le changer en pierre, il lui montra la face réfléchissante de son bouclier et Méduse s’auto-pétrifia en voyant son propre reflet.<br>Persée lui trancha la tête et la ramena à Polydectès.<br>Ce qui mit fin à son épopée.  
IcareDedale;Le mythe d'Icare et Dédale;Le Roi Minos de Crète demanda à Dédale, un architecte, de construire un labyrinthe afin d’y enfermer le Minotaure, un monstre au corps d’homme et à la tête de taureau. Une fois le labyrinthe construit, Minos y enferma la créature, et pour se nourrir, tous les neuf ans, sept jeunes hommes et sept jeunes femmes provenant de la ville d’Athènes, sont envoyés dans le labyrinthe. Thésée, le fils du Roi d’Athènes décida d’y mettre fin, il rencontra Ariane qui demanda à Dédale comment réussir à se retrouver au milieu de ce labyrinthe, Dédale lui conseilla d’utiliser un fil que Thésée utiliserai pour remonter son chemin, Thésée parti dans le labyrinthe avec le fil d’Ariane et une épée, il vaincu le Minotaure et reparti à Athènes avec Ariane. Minos en colère, enferma Dédale et son fils Icare dans le labyrinthe. Sans fil, impossible de s’en échapper. C’est alors que Dédale eut une idée, il pris des plumes et de la cire et créa des ailes à Icare et lui-même, au moment de s’enfuir du labyrinthe par les cieux, il avertit son fils de ne pas voler trop proche du Soleil, cela risquerait de faire fondre la cire qui maintient ses ailes. Alors qu’ils volaient au milieu d’un magnifique ciel bleu. Icare, absorbé par la beauté du ciel et du Soleil en oublia l’avertissement de son père, alors qu’il se rapprochait du Soleil, la cire de ses ailes fondait et Icare tomba dans la mer et mourut. En l’honneur de son fils, la mer dans laquelle il tomba fut nommée « Mer Icarienne ».
Pandore;La boîte de Pandore;Quand Prométhée vola le feu aux Dieux pour le donner aux humains, Zeus, en colère décida de punir les Hommes afin que plus jamais ils ne tentent de le denier. <br>Il demanda aux Dieux de créer une femme aussi belle qu’une déesse, Héphaïstos lui créa un corps parfait et lui donna la force et la voix, Athéna lui enseigna les travaux des femmes notamment l’art du tissage, Aphrodite lui donna la grâce enchanteresse et Apollon l’art de la musique. <br>Cependant, Zeus ne voulait pas créer une femme parfaite, étant mortelle, il lui fallait des défauts, Hermès lui enseigna le mensonge, la perfidie et la curiosité, et Héra lui enseigna la jalousie.<br>Enfin et pour finir, Zeus la nomma Pandore « Celle qui est le don de tous les Dieux » et lui donna une boîte contenant tous les malheurs du monde et lui dit de ne jamais l’ouvrir. Pandore partit sur terre, mais, elle était obnubilée par la boîte jour et nuit. <br>Un jour, à cause de sa curiosité, Pandore ouvrit la boîte et tous les malheurs se répandirent dans le monde : la vieillesse, la maladie, la guerre, la famine, la misère, la tromperie, l’orgueil mais aussi l'espoir.<br>La vengeance de Zeus est accomplie et ces malheurs resteront pour l’éternité.
JasonToison;Jason et la Toison d'Or;Jason est le fils de d’Eson, roi d’Iolcos et est éduqué par le centaure Chiron, centaure qui a notamment entraîné des héros comme Héraclès. <br>Un jour Pélias, son oncle prit possession du trône, Jason lui demanda de le rendre à son père. <br>Il accepta à la seule condition qu’il aille en Colchide pour lui ramener la toison d’or, un trésor unique, protégé par un dragon. Pour cela il lui offrit un navire nommé Argo et une cinquantaine d’hommes également entraînés par Chiron appelés les Argonautes.<br>Une fois arrivé en Colchide, Jason demanda au roi Eétès de le lui donner, celui-ci accepta à la condition que Jason devait arriver à bout de certains travaux, il lui demanda de calmer deux taureau cracheurs de feu, puis de les utiliser afin de semer des dents de dragon qui feront pousser des guerriers que Jason devra vaincre. <br>Ce travail étant très difficile, Médée, la fille du roi Eétès, qui s’est éprise de Jason l’aida, en effet la jeune femme est magicienne, elle lui donna des gants pour se protéger du feu, et une pierre magique qui lança au milieu des guerriers pour qu’ils s’entre tuent. Les travaux accomplis, Eétès refusa de donner la toison a Jason. <br>Celui-ci profita de la nuit pour aller la chercher lui-même avec l’aide de Médée, elle endormit le dragon et Jason s’enfuit avec elle et la toison d’or. A son retour, <br>Pelias tua le père de Jason, Médée par colère tua Pelias et c’est finalement Acaste, le fils de Pelias qui finit sur le trône. Enfin Médée et Jason finiront par s’exiler vers Corinthe et auront deux enfants.
Monde;La création du Monde;Au commencement, il n'y avait qu'une seule entité primordiale existante : Chaos. <br>Il était doté d'une profondeur béante.<br>Il donna ensuite naissance aux premiers dieux primordiaux :  Gaïa (déesse de la Terre), Tartare (dieu des abîmes insondables) et Éros (dieu du désir et de l’amour).<br>Il donnera plus tard naissance à deux autres dieux Primordiaux :   Nyx (déesse de la nuit) et Erèbe (dieu des ténèbres).<br>Les cinq dieux primordiaux donnèrent à leur tour naissance à une deuxième génération de dieux primordiaux issue de relations incestueuses.<br>Ainsi, Nyx et son frère Erèbe donnèrent naissance à Héméra (déesse du Jour) et Ether (Dieu du ciel supérieur). Toute la descendance des dieux primordiaux, forment la base du panthéon grec.<br>Création de l'Homme : <br>Seuls survivants d'un terrible déluge  Deucalion et Pyrrha, reformeront l'humanité en façonnant des pierres qui prendront vie sous forme humaine.
Midas;Mythe du Roi Midas;Le Roi Midas règne sur un pays d’Asie mineure nommé la Phrygie. Il était extrêmement riche et habitait dans un immense palais. Un jour, les gardes du roi retrouvent un homme saoul dans les vignes royales. Ce dernier était en fait Silène, le précepteur du dieu Dionysos. Il accueillit l’homme avec joie et ordonna qu’on réalise un banquet en son honneur. La fête dure 11 jours ( 10 jours et 10 nuits ). Une fois le banquet terminé, Minas décide de ramener Silène auprès de Dionysos. Ce dernier, heureux de revoir Silène, offre au roi Midas la possibilité d’exaucer un vœu. Il dit alors au dieu : « Je voudrais que tout ce que je touche se transforme en or ! » et Dionysos répondit : « Tu aurais pu mieux choisir ! Mais qu’importe ! ». Et le vœux du roi fut exaucé. Sur le chemin du retour, il testa son don sur tout ce qu’il trouvait : une branche d’arbre, un caillou, une pomme, … En arrivant à son palais, il décida d’organiser une grande fête pour célébrer sa nouvelle richesse sans fin. Mais au moment de passer à table, il se rendit compte que la nourriture qu’il saisissait se changeait en or pur. Il ordonna à ses serviteurs de le nourrir, mais encore une fois dès que la nourriture eut atteint ses lèvres, elle se transforma en un métal étincelant. Voyant une mort certaine arriver, il décida de retourner voir Dionysos et l’implora de lui reprendre son don. Le dieu lui dit : « Plonge-toi complètement dans l’eau de la rivière Pactole. Ainsi tu lavera les traces de ton vœux stupide. ». Le roi fit ce que lui conseilla et se rinça complètement. Depuis ce jour, les Hommes trouvent à cet endroit du sable doré. Ce mythe est l’origine de l’expression populaire « toucher le pactole »
OrpheeEurydice;Orphee et Eurydice;À partir de ce jour, Orphée ne chanta plus que des chants mélancoliques. <br>Mais il lui vint une idée. En effet, s’il est capable de charmer les animaux, les arbres et les rivières, <br>ne pourrait-il pas charmer Hadès, le dieu des enfers, afin que celui-ci lui rende sa douce. Orphée commença alors sa descente aux enfers. <br>Il charma Charon pour traverser le fleuve des enfers et, toujours grâce à sa musique endormit Cerbère, le chien des enfers à trois têtes. Une fois devant Hadès et Perséphone, <br>il chanta à nouveau et ,devant la beauté du chant, le roi des enfers lui donna une chance de sauver sa bien-aimée. Orphée doit remonter dans le monde des mortels avec Eurydice qui le suit. <br>Mais, il ne doit en aucun cas se retourner et la contempler avant d’avoir quitté les enfers, sinon Eurydice retournera en enfer pour l’éternité. Orphée accepta cette condition et repartit vers le monde des vivants. <br>Malheureusement, alors qu’il sortait à peine des enfers, il sentit la chaleur du soleil, persuadé qu’il était dans le monde des vivants il se retourna, mais Eurydice, qui le suivait, n'avait pas franchi le monde des vivants. <br>Elle retourna donc aux enfers. Orphée voulut redescendre aux enfers mais cette fois-ci, Charon ne le laissa pas passer. <br>Après cet échec, il erra sans but en chantant toujours la perte de sa bien-aimée. <br>Mais les femmes de Thrace, qui ne supportent plus cet interminable deuil, le mirent en pièce.Les furies jetèrent la tête d’Orphée dans l’Hèbre, <br>ce fleuve l’emporta jusqu’à la mer où elle dériva jusqu’à l’île de Lesbos. <br>Là-bas, selon la légende,elle chanterait toujours.
Achille;Achille et la guerre de Troies;Achille fils d'un homme et d'une nymphe marine est considéré comme un des plus grands guerriers de la Grèce Antique.<br>Selon la légende, il aurait été plongé dans le Styx (fleuve des enfers) par sa mère qui l'aurait retenu par le talon.<br>Ainsi, Achille serait pratiquement invulnérable mais possèderait un unique point faible, son talon.<br>Il a notamment participé à la guerre de Troie aux côtés de Ulysse.Résumé de la guerre de Troie:<br>Pâris (un prince troyen) et Hélène (épouse du roi de Sparte) sont épris l'un de l'autre.<br>Après une visite des troyens à Sparte, Pâris décide de prendre Hélène avec lui à Troie.<br>Mais Ménélas (roi de Sparte) mécontent de s'être fait volé sa femme va entrer en guerre contre Troies.<br>Celui-ci va alors rassembler les rois et les héros grecs pour prendre la ville de Troie et récupérer sa femme.<br>Achille et son ami Patrocle sont eux aussi présents.<br>Malheureusement, lors d'une bataille, Patrocle est tué par Hector, le frère de Pâris.<br>Fou de rage, Achille va tout faire pour venger son ami.<br>Un duel est alors organisé entre Hector et Achille.<br>Ce dernier tue Hector et traîne la dépouille de celui-ci autour de la ville de Troie.<br>Il finit par rendre celle-ci aux troyens pour qu'ils puissent lui accorder des funérailles dignes.<br>Achille est finalement tué peu de temps après par une flèche tirée par Pâris et qui, selon la légende, est guidée par Apollon dans le talon d'Achille.<br>Après cela, Ulysse propose son stratagème pour prendre la ville de Troie.<br>Il fait croire aux Troyens que les forces du roi de Sparte abandonnent et laissent comme cadeau un immense cheval en bois paré d'or.Les Troyens, fiers de leur victoire, acceptent ce cadeau et le font entrer dans la ville.Mais en réalité, des grecs sont cachés dans le cheval et attendent la nuit pour ouvrir les portes de la ville afin d'envahir la ville.<br>Cette tactique de Ulysse permettra de prendre la ville et de mettre un terme à la guerre de Troie.
